trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,mouse.y,mouse.time,mouse.clicked_name,,mouse.time,mouse.clicked_name,,,
0,0,0,0,5,[-0.2462962962962963],1.7893318,['target'],,,,,,
1,0,1,0,5,[-0.025925925925925925],1.2523446,['target'],,,,,,
4,0,4,0,5,[0.49537037037037035],2.4622698,['target'],,,,,,
9,0,9,0,5,[-0.03333333333333333],1.3264207,['target'],,,,,,
11,0,11,0,5,[0.03333333333333333],1.312668,['target'],,,,,,
13,0,13,0,5,[-0.3574074074074074],1.3349144,['target'],,,,,,
17,0,17,0,5,[0.13703703703703704],1.0885285,['target'],,,,,,
20,0,20,0,5,[-0.025],1.6731866,['target'],,,,,,
21,0,21,0,5,[-0.37592592592592594],1.7093814,['target'],,,,,,
22,0,22,0,5,[-0.06018518518518518],1.3605703,['target'],,,,,,
23,0,23,0,5,[0.020370370370370372],1.3096134,['target'],,,,,,
24,0,24,0,5,[0.3675925925925926],1.543318,['target'],,,,,,
25,0,25,0,5,[0.32407407407407407],1.4922754,['target'],,,,,,
26,0,26,0,5,[-0.23981481481481481],2.0763332,['target'],,,,,,
27,0,27,0,5,[-0.19907407407407407],1.3596822,['target'],,,,,,
29,0,29,0,5,[-0.4638888888888889],1.4925627,['target'],,,,,,
31,0,31,0,5,[0.45740740740740743],1.9422973,['target'],,,,,,
32,0,32,0,5,[0.15],1.4432585,['target'],,,,,,
33,0,33,0,5,[-0.2537037037037037],1.3926028,['target'],,,,,,
36,0,36,0,5,[0.1259259259259259],1.7100342,['target'],,,,,,
37,0,37,0,5,[0.19722222222222222],1.442866,['target'],,,,,,
38,0,38,0,5,[0.4740740740740741],1.5758544,['target'],,,,,,
42,0,42,0,5,[-0.2611111111111111],1.8764839,['target'],,,,,,
43,0,43,0,5,[-0.36666666666666664],2.2420375,['target'],,,,,,
48,0,48,0,5,[-0.2740740740740741],1.4882707,['target'],,,,,,
49,0,49,0,5,[-0.21944444444444444],1.7468888,['target'],,,,,,
51,0,51,0,5,[0.4888888888888889],1.9282227,['target'],,,,,,
52,0,52,0,5,[-0.19814814814814816],2.2219267,['target'],,,,,,
54,0,54,0,5,[-0.19537037037037036],1.6099934,['target'],,,,,,
55,0,55,0,5,[0.22407407407407406],1.5092829,['target'],,,,,,
56,0,56,0,5,[0.14166666666666666],1.4632438,['target'],,,,,,
57,0,57,0,5,[0.008333333333333333],1.4270294,['target'],,,,,,
59,0,59,0,5,[-0.019444444444444445],1.6428006,['target'],,,,,,
60,0,60,0,5,[-0.3388888888888889],1.5764109,['target'],,,,,,
61,0,61,0,5,[-0.25092592592592594],1.1587101,['target'],,,,,,
62,0,62,0,5,[-0.025925925925925925],1.3621273,['target'],,,,,,
64,0,64,0,5,[0.09814814814814815],1.0712879,['target'],,,,,,
65,0,65,0,5,[-0.12037037037037036],1.0262527,['target'],,,,,,
69,0,69,0,5,[-0.0962962962962963],1.2753603,['target'],,,,,,
72,0,72,0,5,[0.12685185185185185],1.5771371,['target'],,,,,,
74,0,74,0,5,[-0.16296296296296298],1.1268192,['target'],,,,,,
76,0,76,0,5,[0.49907407407407406],1.8271315,['target'],,,,,,
77,0,77,0,5,[-0.15092592592592594],1.5767181,['target'],,,,,,
81,0,81,0,5,[0.05277777777777778],2.0273553,['target'],,,,,,
83,0,83,0,5,[0.4111111111111111],1.6934285,['target'],,,,,,
